learner_skill_id,learner_id,skill_id,skill_name,mastery_score,mastery_band,confidence_score,evidence_strength,source
LSK00546,LRN0061,SK018,Exploratory Data Analysis,0.157,novice,0.153,0.5,diagnostic_and_practice
LSK00547,LRN0061,SK001,Python Basics,0.436,developing,0.379,0.57,diagnostic_and_practice
LSK00548,LRN0061,SK002,Git & Version Control,0.458,competent,0.476,0.87,diagnostic_and_practice
LSK00549,LRN0061,SK008,Problem Solving (DSA Practice),0.697,proficient,0.788,0.41,diagnostic_and_practice
LSK00550,LRN0062,SK003,Python Data Structures,0.257,developing,0.277,0.41,diagnostic_and_practice
LSK00551,LRN0062,SK017,Inferential Statistics,0.451,competent,0.516,0.53,diagnostic_and_practice
LSK00552,LRN0062,SK021,ML Foundations,0.722,proficient,0.756,0.33,diagnostic_and_practice
LSK00553,LRN0062,SK022,Regression Techniques,0.869,advanced,0.864,0.7,diagnostic_and_practice
LSK00554,LRN0062,SK023,Classification Techniques,0.248,novice,0.234,0.67,diagnostic_and_practice
LSK00555,LRN0062,SK024,Model Evaluation,0.425,developing,0.394,0.37,diagnostic_and_practice
LSK00556,LRN0062,SK001,Python Basics,0.613,competent,0.612,0.83,diagnostic_and_practice
LSK00557,LRN0062,SK002,Git & Version Control,0.773,proficient,0.757,0.37,diagnostic_and_practice
LSK00558,LRN0062,SK008,Problem Solving (DSA Practice),0.911,advanced,0.89,0.71,diagnostic_and_practice
LSK00559,LRN0063,SK021,ML Foundations,0.643,competent,0.583,0.89,diagnostic_and_practice
LSK00560,LRN0063,SK025,Feature Engineering,0.786,proficient,0.713,0.49,diagnostic_and_practice
LSK00561,LRN0063,SK027,Neural Networks,0.895,advanced,0.924,0.32,diagnostic_and_practice
LSK00562,LRN0063,SK028,Deep Learning,0.087,novice,0.134,0.64,diagnostic_and_practice
LSK00563,LRN0063,SK050,Model Deployment,0.275,developing,0.192,0.33,diagnostic_and_practice
LSK00564,LRN0063,SK024,Model Evaluation,0.574,competent,0.684,0.59,diagnostic_and_practice
LSK00565,LRN0063,SK001,Python Basics,0.775,proficient,0.689,0.58,diagnostic_and_practice
LSK00566,LRN0063,SK002,Git & Version Control,0.859,advanced,0.94,0.46,diagnostic_and_practice
LSK00567,LRN0063,SK008,Problem Solving (DSA Practice),0.133,novice,0.161,0.86,diagnostic_and_practice
LSK00568,LRN0064,SK031,HTML & CSS,0.746,proficient,0.77,0.32,diagnostic_and_practice
LSK00569,LRN0064,SK032,JavaScript Basics,0.896,advanced,0.928,0.8,diagnostic_and_practice
LSK00570,LRN0064,SK035,React Fundamentals,0.171,novice,0.195,0.89,diagnostic_and_practice
LSK00571,LRN0064,SK036,Node.js Basics,0.25,developing,0.273,0.64,diagnostic_and_practice
LSK00572,LRN0064,SK037,REST API Design,0.624,competent,0.728,0.77,diagnostic_and_practice
LSK00573,LRN0064,SK034,Database Design (RDBMS),0.662,proficient,0.584,0.72,diagnostic_and_practice
LSK00574,LRN0064,SK001,Python Basics,0.919,advanced,0.855,0.43,diagnostic_and_practice
LSK00575,LRN0064,SK002,Git & Version Control,0.062,novice,0.165,0.59,diagnostic_and_practice
LSK00576,LRN0064,SK008,Problem Solving (DSA Practice),0.337,developing,0.434,0.88,diagnostic_and_practice
LSK00577,LRN0065,SK019,Advanced SQL,0.968,advanced,0.98,0.31,diagnostic_and_practice
LSK00578,LRN0065,SK051,Data Modeling,0.198,novice,0.182,0.69,diagnostic_and_practice
LSK00579,LRN0065,SK053,ETL Fundamentals,0.302,developing,0.419,0.35,diagnostic_and_practice
LSK00580,LRN0065,SK057,Apache Spark Basics,0.579,competent,0.681,0.51,diagnostic_and_practice
LSK00581,LRN0065,SK054,Data Warehousing,0.696,proficient,0.724,0.37,diagnostic_and_practice
LSK00582,LRN0065,SK060,Data Pipeline Design,0.853,advanced,0.935,0.66,diagnostic_and_practice
LSK00583,LRN0065,SK001,Python Basics,0.148,novice,0.245,0.66,diagnostic_and_practice
LSK00584,LRN0065,SK002,Git & Version Control,0.429,developing,0.495,0.5,diagnostic_and_practice
LSK00585,LRN0065,SK008,Problem Solving (DSA Practice),0.644,competent,0.563,0.74,diagnostic_and_practice
LSK00586,LRN0066,SK041,Linux Fundamentals,0.19,novice,0.109,0.8,diagnostic_and_practice
LSK00587,LRN0066,SK042,Cloud Computing Basics,0.416,developing,0.401,0.72,diagnostic_and_practice
LSK00588,LRN0066,SK044,AWS Core Services,0.528,competent,0.511,0.41,diagnostic_and_practice
LSK00589,LRN0066,SK045,Docker Fundamentals,0.66,proficient,0.658,0.69,diagnostic_and_practice
LSK00590,LRN0066,SK047,Kubernetes Basics,0.9,advanced,0.908,0.53,diagnostic_and_practice
LSK00591,LRN0066,SK048,CI/CD Pipelines,0.228,novice,0.148,0.47,diagnostic_and_practice
LSK00592,LRN0066,SK001,Python Basics,0.305,developing,0.323,0.84,diagnostic_and_practice
LSK00593,LRN0066,SK002,Git & Version Control,0.51,competent,0.463,0.33,diagnostic_and_practice
LSK00594,LRN0066,SK008,Problem Solving (DSA Practice),0.846,proficient,0.856,0.79,diagnostic_and_practice
LSK00595,LRN0067,SK012,SQL Basics,0.26,developing,0.302,0.66,diagnostic_and_practice
LSK00596,LRN0067,SK019,Advanced SQL,0.639,competent,0.752,0.82,diagnostic_and_practice
LSK00597,LRN0067,SK013,Excel for Data Analysis,0.683,proficient,0.706,0.57,diagnostic_and_practice
LSK00598,LRN0067,SK016,Data Visualization,0.918,advanced,0.876,0.48,diagnostic_and_practice
LSK00599,LRN0067,SK011,Descriptive Statistics,0.18,novice,0.234,0.46,diagnostic_and_practice
LSK00600,LRN0067,SK018,Exploratory Data Analysis,0.36,developing,0.336,0.6,diagnostic_and_practice
LSK00601,LRN0067,SK001,Python Basics,0.573,competent,0.526,0.52,diagnostic_and_practice
LSK00602,LRN0067,SK002,Git & Version Control,0.706,proficient,0.679,0.31,diagnostic_and_practice
LSK00603,LRN0067,SK008,Problem Solving (DSA Practice),0.966,advanced,0.876,0.61,diagnostic_and_practice
LSK00604,LRN0068,SK003,Python Data Structures,0.544,competent,0.646,0.79,diagnostic_and_practice
LSK00605,LRN0068,SK017,Inferential Statistics,0.74,proficient,0.776,0.46,diagnostic_and_practice
LSK00606,LRN0068,SK021,ML Foundations,0.903,advanced,0.98,0.76,diagnostic_and_practice
LSK00607,LRN0068,SK022,Regression Techniques,0.072,novice,0.05,0.75,diagnostic_and_practice
LSK00608,LRN0068,SK023,Classification Techniques,0.449,developing,0.45,0.9,diagnostic_and_practice
LSK00609,LRN0068,SK024,Model Evaluation,0.615,competent,0.517,0.77,diagnostic_and_practice
LSK00610,LRN0068,SK001,Python Basics,0.814,proficient,0.725,0.46,diagnostic_and_practice
LSK00611,LRN0068,SK002,Git & Version Control,0.857,advanced,0.79,0.79,diagnostic_and_practice
LSK00612,LRN0068,SK008,Problem Solving (DSA Practice),0.149,novice,0.26,0.69,diagnostic_and_practice
LSK00613,LRN0069,SK021,ML Foundations,0.8,proficient,0.772,0.34,diagnostic_and_practice
LSK00614,LRN0069,SK025,Feature Engineering,0.915,advanced,0.925,0.81,diagnostic_and_practice
LSK00615,LRN0069,SK027,Neural Networks,0.13,novice,0.126,0.57,diagnostic_and_practice
LSK00616,LRN0069,SK028,Deep Learning,0.393,developing,0.4,0.46,diagnostic_and_practice
LSK00617,LRN0069,SK050,Model Deployment,0.467,competent,0.528,0.38,diagnostic_and_practice
LSK00618,LRN0069,SK024,Model Evaluation,0.843,proficient,0.763,0.42,diagnostic_and_practice
LSK00619,LRN0069,SK001,Python Basics,0.926,advanced,0.98,0.5,diagnostic_and_practice
LSK00620,LRN0069,SK002,Git & Version Control,0.126,novice,0.099,0.85,diagnostic_and_practice
LSK00621,LRN0069,SK008,Problem Solving (DSA Practice),0.325,developing,0.259,0.39,diagnostic_and_practice
LSK00622,LRN0070,SK031,HTML & CSS,0.967,advanced,0.868,0.8,diagnostic_and_practice
LSK00623,LRN0070,SK032,JavaScript Basics,0.091,novice,0.053,0.38,diagnostic_and_practice
LSK00624,LRN0070,SK035,React Fundamentals,0.393,developing,0.363,0.54,diagnostic_and_practice
LSK00625,LRN0070,SK036,Node.js Basics,0.625,competent,0.648,0.32,diagnostic_and_practice
LSK00626,LRN0070,SK037,REST API Design,0.801,proficient,0.858,0.87,diagnostic_and_practice
LSK00627,LRN0070,SK034,Database Design (RDBMS),0.966,advanced,0.98,0.59,diagnostic_and_practice
LSK00628,LRN0070,SK001,Python Basics,0.133,novice,0.156,0.77,diagnostic_and_practice
LSK00629,LRN0070,SK002,Git & Version Control,0.39,developing,0.358,0.69,diagnostic_and_practice
LSK00630,LRN0070,SK008,Problem Solving (DSA Practice),0.616,competent,0.506,0.3,diagnostic_and_practice
LSK00631,LRN0071,SK019,Advanced SQL,0.147,novice,0.228,0.62,diagnostic_and_practice
LSK00632,LRN0071,SK051,Data Modeling,0.394,developing,0.449,0.76,diagnostic_and_practice
LSK00633,LRN0071,SK053,ETL Fundamentals,0.453,competent,0.554,0.58,diagnostic_and_practice
LSK00634,LRN0071,SK057,Apache Spark Basics,0.778,proficient,0.738,0.53,diagnostic_and_practice
LSK00635,LRN0071,SK054,Data Warehousing,0.86,advanced,0.892,0.72,diagnostic_and_practice
LSK00636,LRN0071,SK060,Data Pipeline Design,0.149,novice,0.125,0.33,diagnostic_and_practice
LSK00637,LRN0071,SK001,Python Basics,0.356,developing,0.28,0.61,diagnostic_and_practice
LSK00638,LRN0071,SK002,Git & Version Control,0.468,competent,0.567,0.87,diagnostic_and_practice
LSK00639,LRN0071,SK008,Problem Solving (DSA Practice),0.682,proficient,0.643,0.62,diagnostic_and_practice
LSK00640,LRN0072,SK041,Linux Fundamentals,0.334,developing,0.397,0.72,diagnostic_and_practice
LSK00641,LRN0072,SK042,Cloud Computing Basics,0.472,competent,0.525,0.43,diagnostic_and_practice
LSK00642,LRN0072,SK044,AWS Core Services,0.797,proficient,0.872,0.84,diagnostic_and_practice
LSK00643,LRN0072,SK045,Docker Fundamentals,0.861,advanced,0.824,0.31,diagnostic_and_practice
LSK00644,LRN0072,SK047,Kubernetes Basics,0.212,novice,0.144,0.45,diagnostic_and_practice
LSK00645,LRN0072,SK048,CI/CD Pipelines,0.262,developing,0.202,0.83,diagnostic_and_practice
LSK00646,LRN0072,SK001,Python Basics,0.507,competent,0.449,0.85,diagnostic_and_practice
LSK00647,LRN0072,SK002,Git & Version Control,0.715,proficient,0.713,0.66,diagnostic_and_practice
LSK00648,LRN0072,SK008,Problem Solving (DSA Practice),0.93,advanced,0.844,0.68,diagnostic_and_practice
LSK00649,LRN0073,SK012,SQL Basics,0.457,competent,0.406,0.83,diagnostic_and_practice
LSK00650,LRN0073,SK019,Advanced SQL,0.846,proficient,0.885,0.47,diagnostic_and_practice
LSK00651,LRN0073,SK013,Excel for Data Analysis,0.898,advanced,0.918,0.63,diagnostic_and_practice
LSK00652,LRN0073,SK016,Data Visualization,0.163,novice,0.159,0.64,diagnostic_and_practice
LSK00653,LRN0073,SK011,Descriptive Statistics,0.324,developing,0.276,0.85,diagnostic_and_practice
LSK00654,LRN0073,SK018,Exploratory Data Analysis,0.482,competent,0.45,0.62,diagnostic_and_practice
LSK00655,LRN0073,SK001,Python Basics,0.804,proficient,0.718,0.53,diagnostic_and_practice
LSK00656,LRN0073,SK002,Git & Version Control,0.952,advanced,0.89,0.88,diagnostic_and_practice
LSK00657,LRN0073,SK008,Problem Solving (DSA Practice),0.164,novice,0.279,0.76,diagnostic_and_practice
LSK00658,LRN0074,SK003,Python Data Structures,0.669,proficient,0.736,0.61,diagnostic_and_practice
LSK00659,LRN0074,SK017,Inferential Statistics,0.931,advanced,0.949,0.74,diagnostic_and_practice
LSK00660,LRN0074,SK021,ML Foundations,0.208,novice,0.227,0.9,diagnostic_and_practice
LSK00661,LRN0074,SK022,Regression Techniques,0.314,developing,0.326,0.33,diagnostic_and_practice
LSK00662,LRN0074,SK023,Classification Techniques,0.463,competent,0.349,0.86,diagnostic_and_practice
LSK00663,LRN0074,SK024,Model Evaluation,0.746,proficient,0.747,0.87,diagnostic_and_practice
LSK00664,LRN0074,SK001,Python Basics,0.886,advanced,0.98,0.3,diagnostic_and_practice
LSK00665,LRN0074,SK002,Git & Version Control,0.21,novice,0.175,0.84,diagnostic_and_practice
LSK00666,LRN0074,SK008,Problem Solving (DSA Practice),0.253,developing,0.156,0.62,diagnostic_and_practice
LSK00667,LRN0075,SK021,ML Foundations,0.891,advanced,0.922,0.75,diagnostic_and_practice
LSK00668,LRN0075,SK025,Feature Engineering,0.058,novice,0.05,0.57,diagnostic_and_practice
LSK00669,LRN0075,SK027,Neural Networks,0.315,developing,0.423,0.77,diagnostic_and_practice
LSK00670,LRN0075,SK028,Deep Learning,0.549,competent,0.609,0.81,diagnostic_and_practice
LSK00671,LRN0075,SK050,Model Deployment,0.698,proficient,0.739,0.58,diagnostic_and_practice
LSK00672,LRN0075,SK024,Model Evaluation,0.952,advanced,0.933,0.64,diagnostic_and_practice
LSK00673,LRN0075,SK001,Python Basics,0.05,novice,0.13,0.62,diagnostic_and_practice
LSK00674,LRN0075,SK002,Git & Version Control,0.252,developing,0.362,0.59,diagnostic_and_practice
LSK00675,LRN0075,SK008,Problem Solving (DSA Practice),0.52,competent,0.512,0.46,diagnostic_and_practice
LSK00676,LRN0076,SK031,HTML & CSS,0.102,novice,0.13,0.86,diagnostic_and_practice
LSK00677,LRN0076,SK032,JavaScript Basics,0.437,developing,0.394,0.52,diagnostic_and_practice
LSK00678,LRN0076,SK035,React Fundamentals,0.638,competent,0.729,0.56,diagnostic_and_practice
LSK00679,LRN0076,SK036,Node.js Basics,0.83,proficient,0.9,0.65,diagnostic_and_practice
LSK00680,LRN0076,SK037,REST API Design,0.941,advanced,0.98,0.71,diagnostic_and_practice
LSK00681,LRN0076,SK034,Database Design (RDBMS),0.197,novice,0.116,0.61,diagnostic_and_practice
LSK00682,LRN0076,SK001,Python Basics,0.339,developing,0.39,0.75,diagnostic_and_practice
LSK00683,LRN0076,SK002,Git & Version Control,0.481,competent,0.595,0.75,diagnostic_and_practice
LSK00684,LRN0076,SK008,Problem Solving (DSA Practice),0.664,proficient,0.584,0.65,diagnostic_and_practice
LSK00685,LRN0077,SK019,Advanced SQL,0.254,developing,0.151,0.32,diagnostic_and_practice
LSK00686,LRN0077,SK051,Data Modeling,0.456,competent,0.482,0.9,diagnostic_and_practice
LSK00687,LRN0077,SK053,ETL Fundamentals,0.752,proficient,0.734,0.48,diagnostic_and_practice
LSK00688,LRN0077,SK057,Apache Spark Basics,0.966,advanced,0.98,0.47,diagnostic_and_practice
LSK00689,LRN0077,SK054,Data Warehousing,0.207,novice,0.098,0.45,diagnostic_and_practice
LSK00690,LRN0077,SK060,Data Pipeline Design,0.345,developing,0.259,0.41,diagnostic_and_practice
LSK00691,LRN0077,SK001,Python Basics,0.56,competent,0.475,0.49,diagnostic_and_practice
LSK00692,LRN0077,SK002,Git & Version Control,0.796,proficient,0.7,0.55,diagnostic_and_practice
LSK00693,LRN0077,SK008,Problem Solving (DSA Practice),0.927,advanced,0.98,0.78,diagnostic_and_practice
LSK00694,LRN0078,SK041,Linux Fundamentals,0.62,competent,0.706,0.8,diagnostic_and_practice
LSK00695,LRN0078,SK042,Cloud Computing Basics,0.826,proficient,0.773,0.86,diagnostic_and_practice
LSK00696,LRN0078,SK044,AWS Core Services,0.906,advanced,0.867,0.89,diagnostic_and_practice
LSK00697,LRN0078,SK045,Docker Fundamentals,0.176,novice,0.146,0.68,diagnostic_and_practice
LSK00698,LRN0078,SK047,Kubernetes Basics,0.35,developing,0.383,0.36,diagnostic_and_practice
LSK00699,LRN0078,SK048,CI/CD Pipelines,0.518,competent,0.609,0.58,diagnostic_and_practice
LSK00700,LRN0078,SK001,Python Basics,0.74,proficient,0.631,0.33,diagnostic_and_practice
LSK00701,LRN0078,SK002,Git & Version Control,0.942,advanced,0.893,0.55,diagnostic_and_practice
LSK00702,LRN0078,SK008,Problem Solving (DSA Practice),0.087,novice,0.05,0.84,diagnostic_and_practice
LSK00703,LRN0079,SK012,SQL Basics,0.849,proficient,0.73,0.31,diagnostic_and_practice
LSK00704,LRN0079,SK019,Advanced SQL,0.948,advanced,0.976,0.44,diagnostic_and_practice
LSK00705,LRN0079,SK013,Excel for Data Analysis,0.192,novice,0.213,0.48,diagnostic_and_practice
LSK00706,LRN0079,SK016,Data Visualization,0.44,developing,0.446,0.62,diagnostic_and_practice
LSK00707,LRN0079,SK011,Descriptive Statistics,0.636,competent,0.744,0.53,diagnostic_and_practice
LSK00708,LRN0079,SK018,Exploratory Data Analysis,0.85,proficient,0.922,0.73,diagnostic_and_practice
LSK00709,LRN0079,SK001,Python Basics,0.918,advanced,0.824,0.46,diagnostic_and_practice
LSK00710,LRN0079,SK002,Git & Version Control,0.054,novice,0.162,0.46,diagnostic_and_practice
LSK00711,LRN0079,SK008,Problem Solving (DSA Practice),0.311,developing,0.245,0.79,diagnostic_and_practice
LSK00712,LRN0080,SK003,Python Data Structures,0.87,advanced,0.782,0.57,diagnostic_and_practice
LSK00713,LRN0080,SK017,Inferential Statistics,0.052,novice,0.05,0.63,diagnostic_and_practice
LSK00714,LRN0080,SK021,ML Foundations,0.411,developing,0.41,0.41,diagnostic_and_practice
LSK00715,LRN0080,SK022,Regression Techniques,0.585,competent,0.632,0.59,diagnostic_and_practice
LSK00716,LRN0080,SK023,Classification Techniques,0.8,proficient,0.818,0.42,diagnostic_and_practice
LSK00717,LRN0080,SK024,Model Evaluation,0.908,advanced,0.885,0.77,diagnostic_and_practice
LSK00718,LRN0080,SK001,Python Basics,0.152,novice,0.083,0.7,diagnostic_and_practice
LSK00719,LRN0080,SK002,Git & Version Control,0.346,developing,0.318,0.79,diagnostic_and_practice
LSK00720,LRN0080,SK008,Problem Solving (DSA Practice),0.644,competent,0.728,0.32,diagnostic_and_practice
LSK00721,LRN0081,SK021,ML Foundations,0.236,novice,0.124,0.42,diagnostic_and_practice
LSK00722,LRN0081,SK025,Feature Engineering,0.36,developing,0.247,0.45,diagnostic_and_practice
LSK00723,LRN0081,SK027,Neural Networks,0.565,competent,0.446,0.73,diagnostic_and_practice
LSK00724,LRN0081,SK028,Deep Learning,0.834,proficient,0.723,0.32,diagnostic_and_practice
LSK00725,LRN0081,SK050,Model Deployment,0.88,advanced,0.98,0.88,diagnostic_and_practice
LSK00726,LRN0081,SK024,Model Evaluation,0.202,novice,0.173,0.67,diagnostic_and_practice
LSK00727,LRN0081,SK001,Python Basics,0.397,developing,0.307,0.44,diagnostic_and_practice
LSK00728,LRN0081,SK002,Git & Version Control,0.488,competent,0.426,0.74,diagnostic_and_practice
LSK00729,LRN0081,SK008,Problem Solving (DSA Practice),0.743,proficient,0.812,0.45,diagnostic_and_practice
LSK00730,LRN0082,SK031,HTML & CSS,0.341,developing,0.302,0.41,diagnostic_and_practice
LSK00731,LRN0082,SK032,JavaScript Basics,0.54,competent,0.628,0.84,diagnostic_and_practice
LSK00732,LRN0082,SK035,React Fundamentals,0.694,proficient,0.733,0.73,diagnostic_and_practice
LSK00733,LRN0082,SK036,Node.js Basics,0.944,advanced,0.98,0.66,diagnostic_and_practice
LSK00734,LRN0082,SK037,REST API Design,0.169,novice,0.222,0.78,diagnostic_and_practice
LSK00735,LRN0082,SK034,Database Design (RDBMS),0.444,developing,0.498,0.41,diagnostic_and_practice
LSK00736,LRN0082,SK001,Python Basics,0.574,competent,0.515,0.39,diagnostic_and_practice
LSK00737,LRN0082,SK002,Git & Version Control,0.711,proficient,0.793,0.76,diagnostic_and_practice
LSK00738,LRN0082,SK008,Problem Solving (DSA Practice),0.913,advanced,0.842,0.38,diagnostic_and_practice
LSK00739,LRN0083,SK019,Advanced SQL,0.581,competent,0.557,0.67,diagnostic_and_practice
LSK00740,LRN0083,SK051,Data Modeling,0.803,proficient,0.815,0.75,diagnostic_and_practice
LSK00741,LRN0083,SK053,ETL Fundamentals,0.918,advanced,0.918,0.44,diagnostic_and_practice
LSK00742,LRN0083,SK057,Apache Spark Basics,0.225,novice,0.243,0.48,diagnostic_and_practice
LSK00743,LRN0083,SK054,Data Warehousing,0.264,developing,0.16,0.39,diagnostic_and_practice
LSK00744,LRN0083,SK060,Data Pipeline Design,0.583,competent,0.556,0.81,diagnostic_and_practice
LSK00745,LRN0083,SK001,Python Basics,0.765,proficient,0.731,0.82,diagnostic_and_practice
LSK00746,LRN0083,SK002,Git & Version Control,0.904,advanced,0.98,0.46,diagnostic_and_practice
LSK00747,LRN0083,SK008,Problem Solving (DSA Practice),0.144,novice,0.181,0.41,diagnostic_and_practice
LSK00748,LRN0084,SK041,Linux Fundamentals,0.74,proficient,0.654,0.87,diagnostic_and_practice
LSK00749,LRN0084,SK042,Cloud Computing Basics,0.895,advanced,0.93,0.78,diagnostic_and_practice
LSK00750,LRN0084,SK044,AWS Core Services,0.219,novice,0.102,0.73,diagnostic_and_practice
LSK00751,LRN0084,SK045,Docker Fundamentals,0.336,developing,0.254,0.58,diagnostic_and_practice
LSK00752,LRN0084,SK047,Kubernetes Basics,0.545,competent,0.496,0.56,diagnostic_and_practice
LSK00753,LRN0084,SK048,CI/CD Pipelines,0.677,proficient,0.712,0.54,diagnostic_and_practice
LSK00754,LRN0084,SK001,Python Basics,0.885,advanced,0.98,0.73,diagnostic_and_practice
LSK00755,LRN0084,SK002,Git & Version Control,0.18,novice,0.282,0.64,diagnostic_and_practice
LSK00756,LRN0084,SK008,Problem Solving (DSA Practice),0.295,developing,0.265,0.61,diagnostic_and_practice
LSK00757,LRN0085,SK012,SQL Basics,0.94,advanced,0.915,0.77,diagnostic_and_practice
LSK00758,LRN0085,SK019,Advanced SQL,0.108,novice,0.178,0.53,diagnostic_and_practice
LSK00759,LRN0085,SK013,Excel for Data Analysis,0.34,developing,0.407,0.5,diagnostic_and_practice
LSK00760,LRN0085,SK016,Data Visualization,0.484,competent,0.396,0.85,diagnostic_and_practice
LSK00761,LRN0085,SK011,Descriptive Statistics,0.739,proficient,0.849,0.84,diagnostic_and_practice
LSK00762,LRN0085,SK018,Exploratory Data Analysis,0.889,advanced,0.867,0.6,diagnostic_and_practice
LSK00763,LRN0085,SK001,Python Basics,0.242,novice,0.288,0.7,diagnostic_and_practice
LSK00764,LRN0085,SK002,Git & Version Control,0.417,developing,0.533,0.68,diagnostic_and_practice
LSK00765,LRN0085,SK008,Problem Solving (DSA Practice),0.503,competent,0.473,0.72,diagnostic_and_practice
LSK00766,LRN0086,SK003,Python Data Structures,0.188,novice,0.188,0.49,diagnostic_and_practice
LSK00767,LRN0086,SK017,Inferential Statistics,0.314,developing,0.387,0.54,diagnostic_and_practice
LSK00768,LRN0086,SK021,ML Foundations,0.553,competent,0.508,0.36,diagnostic_and_practice
LSK00769,LRN0086,SK022,Regression Techniques,0.684,proficient,0.693,0.51,diagnostic_and_practice
LSK00770,LRN0086,SK023,Classification Techniques,0.959,advanced,0.98,0.45,diagnostic_and_practice
LSK00771,LRN0086,SK024,Model Evaluation,0.167,novice,0.166,0.6,diagnostic_and_practice
LSK00772,LRN0086,SK001,Python Basics,0.314,developing,0.42,0.41,diagnostic_and_practice
LSK00773,LRN0086,SK002,Git & Version Control,0.645,competent,0.598,0.46,diagnostic_and_practice
LSK00774,LRN0086,SK008,Problem Solving (DSA Practice),0.826,proficient,0.774,0.75,diagnostic_and_practice
LSK00775,LRN0087,SK021,ML Foundations,0.274,developing,0.376,0.59,diagnostic_and_practice
LSK00776,LRN0087,SK025,Feature Engineering,0.611,competent,0.634,0.88,diagnostic_and_practice
LSK00777,LRN0087,SK027,Neural Networks,0.772,proficient,0.804,0.81,diagnostic_and_practice
LSK00778,LRN0087,SK028,Deep Learning,0.945,advanced,0.98,0.76,diagnostic_and_practice
LSK00779,LRN0087,SK050,Model Deployment,0.195,novice,0.137,0.53,diagnostic_and_practice
LSK00780,LRN0087,SK024,Model Evaluation,0.44,developing,0.521,0.35,diagnostic_and_practice
LSK00781,LRN0087,SK001,Python Basics,0.626,competent,0.717,0.86,diagnostic_and_practice
LSK00782,LRN0087,SK002,Git & Version Control,0.818,proficient,0.911,0.84,diagnostic_and_practice
LSK00783,LRN0087,SK008,Problem Solving (DSA Practice),0.909,advanced,0.98,0.65,diagnostic_and_practice
LSK00784,LRN0088,SK031,HTML & CSS,0.565,competent,0.511,0.53,diagnostic_and_practice
LSK00785,LRN0088,SK032,JavaScript Basics,0.72,proficient,0.752,0.79,diagnostic_and_practice
LSK00786,LRN0088,SK035,React Fundamentals,0.93,advanced,0.98,0.67,diagnostic_and_practice
LSK00787,LRN0088,SK036,Node.js Basics,0.07,novice,0.116,0.83,diagnostic_and_practice
LSK00788,LRN0088,SK037,REST API Design,0.297,developing,0.276,0.51,diagnostic_and_practice
LSK00789,LRN0088,SK034,Database Design (RDBMS),0.605,competent,0.721,0.82,diagnostic_and_practice
LSK00790,LRN0088,SK001,Python Basics,0.654,proficient,0.76,0.82,diagnostic_and_practice
LSK00791,LRN0088,SK002,Git & Version Control,0.87,advanced,0.952,0.32,diagnostic_and_practice
LSK00792,LRN0088,SK008,Problem Solving (DSA Practice),0.069,novice,0.05,0.75,diagnostic_and_practice
LSK00793,LRN0089,SK019,Advanced SQL,0.702,proficient,0.789,0.35,diagnostic_and_practice
LSK00794,LRN0089,SK051,Data Modeling,0.853,advanced,0.951,0.47,diagnostic_and_practice
LSK00795,LRN0089,SK053,ETL Fundamentals,0.068,novice,0.152,0.65,diagnostic_and_practice
LSK00796,LRN0089,SK057,Apache Spark Basics,0.362,developing,0.464,0.74,diagnostic_and_practice
LSK00797,LRN0089,SK054,Data Warehousing,0.575,competent,0.641,0.39,diagnostic_and_practice
LSK00798,LRN0089,SK060,Data Pipeline Design,0.767,proficient,0.683,0.53,diagnostic_and_practice
LSK00799,LRN0089,SK001,Python Basics,0.95,advanced,0.907,0.65,diagnostic_and_practice
LSK00800,LRN0089,SK002,Git & Version Control,0.09,novice,0.1,0.68,diagnostic_and_practice
LSK00801,LRN0089,SK008,Problem Solving (DSA Practice),0.253,developing,0.364,0.61,diagnostic_and_practice
LSK00802,LRN0090,SK041,Linux Fundamentals,0.87,advanced,0.752,0.3,diagnostic_and_practice
LSK00803,LRN0090,SK042,Cloud Computing Basics,0.215,novice,0.331,0.78,diagnostic_and_practice
LSK00804,LRN0090,SK044,AWS Core Services,0.377,developing,0.496,0.71,diagnostic_and_practice
LSK00805,LRN0090,SK045,Docker Fundamentals,0.595,competent,0.533,0.32,diagnostic_and_practice
LSK00806,LRN0090,SK047,Kubernetes Basics,0.783,proficient,0.749,0.42,diagnostic_and_practice
LSK00807,LRN0090,SK048,CI/CD Pipelines,0.929,advanced,0.98,0.79,diagnostic_and_practice
LSK00808,LRN0090,SK001,Python Basics,0.168,novice,0.073,0.79,diagnostic_and_practice
LSK00809,LRN0090,SK002,Git & Version Control,0.325,developing,0.433,0.58,diagnostic_and_practice
LSK00810,LRN0090,SK008,Problem Solving (DSA Practice),0.484,competent,0.455,0.5,diagnostic_and_practice
LSK00811,LRN0091,SK012,SQL Basics,0.112,novice,0.05,0.88,diagnostic_and_practice
LSK00812,LRN0091,SK019,Advanced SQL,0.399,developing,0.425,0.65,diagnostic_and_practice
LSK00813,LRN0091,SK013,Excel for Data Analysis,0.601,competent,0.506,0.32,diagnostic_and_practice
LSK00814,LRN0091,SK016,Data Visualization,0.662,proficient,0.633,0.89,diagnostic_and_practice
LSK00815,LRN0091,SK011,Descriptive Statistics,0.947,advanced,0.972,0.6,diagnostic_and_practice
LSK00816,LRN0091,SK018,Exploratory Data Analysis,0.106,novice,0.05,0.7,diagnostic_and_practice
LSK00817,LRN0091,SK001,Python Basics,0.367,developing,0.471,0.63,diagnostic_and_practice
