goal_id,learner_id,goal_title,goal_type,target_role,core_target_skills,deadline_months,weekly_hours_committed,status,priority
GOAL0133,LRN0133,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0134,LRN0134,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0135,LRN0135,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0136,LRN0136,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0137,LRN0137,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0138,LRN0138,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0139,LRN0139,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0140,LRN0140,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0141,LRN0141,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0142,LRN0142,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0143,LRN0143,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0144,LRN0144,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0145,LRN0145,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0146,LRN0146,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0147,LRN0147,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0148,LRN0148,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0149,LRN0149,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0150,LRN0150,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0151,LRN0151,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0152,LRN0152,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0153,LRN0153,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0154,LRN0154,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0155,LRN0155,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0156,LRN0156,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0157,LRN0157,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0158,LRN0158,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0159,LRN0159,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0160,LRN0160,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0161,LRN0161,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0162,LRN0162,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0163,LRN0163,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0164,LRN0164,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0165,LRN0165,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0166,LRN0166,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0167,LRN0167,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0168,LRN0168,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0169,LRN0169,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0170,LRN0170,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0171,LRN0171,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0172,LRN0172,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0173,LRN0173,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0174,LRN0174,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0175,LRN0175,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0176,LRN0176,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0177,LRN0177,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0178,LRN0178,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0179,LRN0179,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0180,LRN0180,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0181,LRN0181,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0182,LRN0182,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0183,LRN0183,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0184,LRN0184,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0185,LRN0185,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0186,LRN0186,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0187,LRN0187,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0188,LRN0188,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0189,LRN0189,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0190,LRN0190,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0191,LRN0191,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0192,LRN0192,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0193,LRN0193,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0194,LRN0194,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0195,LRN0195,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0196,LRN0196,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0197,LRN0197,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0198,LRN0198,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0199,LRN0199,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0200,LRN0200,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0201,LRN0201,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0202,LRN0202,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0203,LRN0203,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0204,LRN0204,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0205,LRN0205,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0206,LRN0206,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0207,LRN0207,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0208,LRN0208,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0209,LRN0209,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0210,LRN0210,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0211,LRN0211,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0212,LRN0212,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0213,LRN0213,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0214,LRN0214,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0215,LRN0215,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0216,LRN0216,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0217,LRN0217,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0218,LRN0218,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0219,LRN0219,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0220,LRN0220,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0221,LRN0221,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0222,LRN0222,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0223,LRN0223,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0224,LRN0224,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0225,LRN0225,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0226,LRN0226,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0227,LRN0227,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0228,LRN0228,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0229,LRN0229,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0230,LRN0230,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0231,LRN0231,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0232,LRN0232,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0233,LRN0233,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0234,LRN0234,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0235,LRN0235,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0236,LRN0236,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0237,LRN0237,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0238,LRN0238,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0239,LRN0239,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0240,LRN0240,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
